x,y,z
-1.93551,-1.05036,23.6947
-1.85486,-1.12526,23.2459
-1.78922,-1.20417,22.8066
-1.73752,-1.28702,22.3767
-1.69882,-1.37389,21.9562
-1.67227,-1.46497,21.5452
-1.65713,-1.56059,21.1434
-1.65277,-1.66116,20.7512
-1.65865,-1.76716,20.3683
-1.67435,-1.87918,19.9951
-1.69952,-1.99787,19.6315
-1.73395,-2.12392,19.2778
-1.77749,-2.25814,18.9341
-1.83008,-2.40134,18.6008
-1.89177,-2.55445,18.2781
-1.96267,-2.71842,17.9665
-2.043,-2.89428,17.6663
-2.13304,-3.08314,17.3783
-2.23315,-3.28615,17.103
-2.3438,-3.50453,16.8412
-2.46549,-3.73958,16.5939
-2.59883,-3.99263,16.3622
-2.74448,-4.26509,16.1474
-2.90321,-4.5584,15.951
-3.0758,-4.87403,15.7747
-3.26315,-5.21346,15.6206
-3.46619,-5.57816,15.491
-3.68588,-5.96952,15.3886
-3.92326,-6.38886,15.3166
-4.17935,-6.83729,15.2785
-4.45519,-7.31571,15.2784
-4.75178,-7.82463,15.3208
-5.07005,-8.36411,15.411
-5.41084,-8.93357,15.5545
-5.77478,-9.53163,15.7578
-6.1623,-10.1559,16.0274
-6.57346,-10.8026,16.3708
-7.00793,-11.4667,16.7953
-7.46481,-12.141,17.3086
-7.94253,-12.8166,17.9179
-8.43868,-13.482,18.6299
-8.9499,-14.1234,19.4497
-9.47167,-14.7242,20.3806
-9.99826,-15.2656,21.4233
-10.5225,-15.7267,22.5745
-11.036,-16.0853,23.8266
-11.5289,-16.3187,25.1665
-11.9901,-16.4054,26.5754
-12.4079,-16.3266,28.0283
-12.7698,-16.0681,29.4948
-13.0636,-15.6222,30.9399
-13.2779,-14.9891,32.326
-13.4028,-14.1782,33.6148
-13.4309,-13.2081,34.7707
-13.3573,-12.1056,35.7628
-13.1807,-10.9043,36.5678
-12.9033,-9.64193,37.1714
-12.5308,-8.35753,37.5693
-12.072,-7.08847,37.7663
-11.5383,-5.86795,37.7757
-10.9426,-4.72318,37.6167
-10.2992,-3.67438,37.3129
-9.62239,-2.73455,36.8896
-8.92611,-1.90996,36.3718
-8.22324,-1.20111,35.7831
-7.52525,-0.603885,35.1445
-6.84195,-0.11084,34.4736
