i,x,y,z
450,-2.87816,-2.73879,22.6538
451,-2.87116,-2.8697,22.285
452,-2.87772,-3.00969,21.9273
453,-2.89743,-3.15917,21.5813
454,-2.92997,-3.31864,21.2473
455,-2.9751,-3.48871,20.9261
456,-3.03265,-3.67001,20.6181
457,-3.10256,-3.86329,20.3242
458,-3.18481,-4.06931,20.0451
459,-3.27949,-4.28887,19.7819
460,-3.38675,-4.52284,19.5356
461,-3.50679,-4.77204,19.3073
462,-3.6399,-5.03735,19.0984
463,-3.7864,-5.31958,18.9106
464,-3.94667,-5.61953,18.7455
465,-4.12111,-5.9379,18.605
466,-4.31017,-6.27531,18.4915
467,-4.51429,-6.63219,18.4072
468,-4.73389,-7.0088,18.3549
469,-4.9694,-7.40514,18.3376
470,-5.22115,-7.82085,18.3585
471,-5.48941,-8.25518,18.4211
472,-5.77433,-8.70687,18.5293
473,-6.07588,-9.17405,18.6869
474,-6.39384,-9.6541,18.898
475,-6.72772,-10.1436,19.1669
476,-7.07668,-10.6381,19.4975
477,-7.43953,-11.1322,19.8938
478,-7.81458,-11.6192,20.3592
479,-8.19962,-12.0912,20.8962
480,-8.59185,-12.5391,21.5065
481,-8.9878,-12.9526,22.1904
482,-9.3833,-13.3204,22.9464
483,-9.77348,-13.6305,23.7707
484,-10.1527,-13.8704,24.6574
485,-10.5148,-14.0278,25.5974
486,-10.853,-14.0915,26.5791
487,-11.1601,-14.0515,27.5876
488,-11.4288,-13.9005,28.6057
489,-11.6521,-13.6342,29.6139
490,-11.8231,-13.2523,30.5914
491,-11.9361,-12.7584,31.5169
492,-11.9862,-12.161,32.3698
493,-11.9702,-11.4725,33.1316
494,-11.8865,-10.7089,33.7865
495,-11.7351,-9.88933,34.3227
496,-11.5183,-9.03421,34.733
497,-11.2399,-8.16455,35.0145
498,-10.9053,-7.30058,35.1691
499,-10.5214,-6.46066,35.2025
500,-10.0959,-5.66049,35.1239
501,-9.63716,-4.91262,34.9446
502,-9.15384,-4.22619,34.6774
503,-8.65441,-3.60702,34.3357
504,-8.14697,-3.05787,33.9326
505,-7.63895,-2.57886,33.4806
506,-7.13702,-2.168,32.9909
507,-6.64691,-1.82167,32.4735
508,-6.17341,-1.53515,31.9367
509,-5.72039,-1.30303,31.3877
510,-5.29078,-1.11959,30.832
511,-4.88673,-0.979072,30.2742
512,-4.5096,-0.875934,29.7177
513,-4.16014,-0.804959,29.1652
514,-3.83855,-0.761374,28.6186
515,-3.54456,-0.740897,28.0793
516,-3.27756,-0.739763,27.5482
517,-3.03666,-0.754712,27.0261
518,-2.82078,-0.782974,26.5131
519,-2.62867,-0.822235,26.0098
520,-2.45904,-0.870597,25.516
521,-2.31053,-0.92654,25.0319
522,-2.1818,-0.988879,24.5575
523,-2.07152,-1.05673,24.0928
524,-1.97843,-1.12945,23.6376
525,-1.90134,-1.20665,23.1919
526,-1.83914,-1.28811,22.7558
527,-1.79081,-1.3738,22.3291
528,-1.75545,-1.4638,21.9118
529,-1.73223,-1.55837,21.504
530,-1.72046,-1.65782,21.1057
531,-1.71952,-1.7626,20.7168
532,-1.72892,-1.87322,20.3376
533,-1.74826,-1.9903,19.9682
534,-1.77725,-2.11449,19.6086
535,-1.81566,-2.24654,19.259
536,-1.8634,-2.38725,18.9199
537,-1.92044,-2.53749,18.5913
538,-1.98685,-2.6982,18.2738
539,-2.06277,-2.87036,17.9678
540,-2.14846,-3.05504,17.6737
541,-2.24421,-3.25335,17.3923
542,-2.35043,-3.46649,17.1243
543,-2.46759,-3.6957,16.8706
544,-2.59625,-3.94228,16.6323
545,-2.73702,-4.20758,16.4105
546,-2.8906,-4.49301,16.2067
547,-3.05777,-4.8,16.0226
548,-3.23934,-5.12998,15.86
549,-3.4362,-5.48438,15.7213
550,-3.64929,-5.86458,15.609
551,-3.87958,-6.27186,15.526
552,-4.12808,-6.70736,15.4758
553,-4.39577,-7.17199,15.4621
554,-4.68364,-7.66633,15.4894
