i,x,y,z
537,-9.52135,-7.53809,30.5748
538,-9.31742,-7.22696,30.4563
539,-9.10427,-6.93685,30.2984
540,-8.88493,-6.67051,30.1048
541,-8.66236,-6.42999,29.8795
542,-8.43938,-6.21665,29.6266
543,-8.21867,-6.03127,29.3501
544,-8.00268,-5.87411,29.0539
545,-7.79366,-5.74498,28.7419
546,-7.59357,-5.64334,28.4177
547,-7.40415,-5.56838,28.0844
548,-7.22687,-5.51911,27.7454
549,-7.06297,-5.49441,27.4033
550,-6.91346,-5.49311,27.0608
551,-6.77913,-5.51401,26.7204
552,-6.66061,-5.55594,26.3841
553,-6.55832,-5.61779,26.054
554,-6.47258,-5.6985,25.732
555,-6.40355,-5.79711,25.4199
556,-6.3513,-5.91272,25.1193
557,-6.31581,-6.04453,24.8318
558,-6.297,-6.19179,24.5589
559,-6.29471,-6.35384,24.3022
560,-6.30875,-6.53004,24.0632
561,-6.33888,-6.71976,23.8433
562,-6.38483,-6.92241,23.644
563,-6.44629,-7.13735,23.4667
564,-6.52292,-7.36388,23.3131
565,-6.61435,-7.60124,23.1846
566,-6.72016,-7.84856,23.0826
567,-6.83987,-8.10481,23.0089
568,-6.97296,-8.36881,22.9647
569,-7.11882,-8.63915,22.9517
570,-7.27678,-8.9142,22.9711
571,-7.44603,-9.19207,23.0243
572,-7.62566,-9.47057,23.1124
573,-7.81463,-9.74721,23.2363
574,-8.01175,-10.0192,23.3967
575,-8.21563,-10.2833,23.5939
576,-8.42474,-10.5363,23.8279
577,-8.63733,-10.7743,24.0981
578,-8.85146,-10.9935,24.4034
579,-9.06499,-11.1898,24.7421
580,-9.27561,-11.359,25.1116
581,-9.48081,-11.4971,25.5088
582,-9.67796,-11.6002,25.9297
583,-9.86432,-11.6647,26.3695
584,-10.0371,-11.6876,26.8227
585,-10.1935,-11.6666,27.283
586,-10.3308,-11.6001,27.7437
587,-10.4465,-11.4875,28.1977
588,-10.5383,-11.3294,28.6375
589,-10.6042,-11.1273,29.0558
590,-10.6425,-10.8841,29.4454
591,-10.6522,-10.6034,29.7999
592,-10.6326,-10.2903,30.1133
593,-10.5838,-9.95023,30.3807
594,-10.5062,-9.58952,30.5981
595,-10.4009,-9.21476,30.7631
596,-10.2696,-8.8327,30.874
597,-10.1143,-8.44998,30.9307
598,-9.93762,-8.07288,30.9342
599,-9.74237,-7.70717,30.8862
600,-9.53165,-7.35794,30.7897
601,-9.30873,-7.02951,30.648
602,-9.07692,-6.72539,30.4652
603,-8.83951,-6.44823,30.2456
604,-8.5997,-6.19992,29.9936
