t,distance
9.44,1.90091e-005
9.45,1.83986e-005
9.46,1.78854e-005
9.47,1.74588e-005
9.48,1.71077e-005
9.49,1.68215e-005
9.5,1.65906e-005
9.51,1.64063e-005
9.52,1.62612e-005
9.53,1.61492e-005
9.54,1.60654e-005
9.55,1.6006e-005
9.56,1.59681e-005
9.57,1.59497e-005
9.58,1.59494e-005
9.59,1.59664e-005
9.6,1.60002e-005
9.61,1.60508e-005
9.62,1.61182e-005
9.63,1.62027e-005
9.64,1.63046e-005
9.65,1.64244e-005
9.66,1.65623e-005
9.67,1.67187e-005
9.68,1.68936e-005
9.69,1.70871e-005
9.7,1.7299e-005
9.71,1.75288e-005
9.72,1.77758e-005
9.73,1.80388e-005
9.74,1.83164e-005
9.75,1.86066e-005
9.76,1.89069e-005
9.77,1.92143e-005
9.78,1.9525e-005
9.79,1.98345e-005
9.8,2.01378e-005
9.81,2.04289e-005
9.82,2.07011e-005
9.83,2.09471e-005
9.84,2.11591e-005
9.85,2.13288e-005
9.86,2.14479e-005
9.87,2.15088e-005
9.88,2.15048e-005
9.89,2.14309e-005
9.9,2.1285e-005
9.91,2.10684e-005
9.92,2.0787e-005
9.93,2.04521e-005
9.94,2.00801e-005
9.95,1.96924e-005
9.96,1.93135e-005
9.97,1.89684e-005
9.98,1.86784e-005
9.99,1.84576e-005
10,1.83094e-005
10.01,1.82256e-005
10.02,1.81876e-005
10.03,1.81698e-005
10.04,1.81452e-005
10.05,1.80892e-005
10.06,1.79834e-005
10.07,1.78174e-005
10.08,1.75895e-005
10.09,1.73051e-005
10.1,1.69757e-005
10.11,1.66163e-005
10.12,1.62438e-005
10.13,1.58748e-005
10.14,1.55243e-005
10.15,1.52047e-005
10.16,1.49251e-005
10.17,1.46916e-005
10.18,1.45072e-005
10.19,1.43724e-005
10.2,1.4286e-005
10.21,1.42457e-005
10.22,1.42486e-005
10.23,1.42918e-005
10.24,1.4373e-005
10.25,1.44904e-005
10.26,1.4643e-005
10.27,1.48304e-005
10.28,1.50534e-005
10.29,1.53132e-005
10.3,1.56117e-005
10.31,1.59514e-005
10.32,1.63353e-005
10.33,1.67668e-005
10.34,1.72495e-005
10.35,1.77874e-005
10.36,1.83851e-005
10.37,1.90469e-005
10.38,1.9778e-005
10.39,2.05836e-005
10.4,2.14693e-005
10.41,2.24412e-005
10.42,2.35059e-005
10.43,2.46704e-005
10.44,2.59425e-005
10.45,2.73305e-005
10.46,2.88435e-005
10.47,3.04914e-005
10.48,3.22851e-005
10.49,3.42364e-005
10.5,3.63581e-005
10.51,3.86643e-005
10.52,4.11703e-005
10.53,4.38925e-005
10.54,4.6849e-005
10.55,5.00591e-005
10.56,5.3544e-005
10.57,5.7326e-005
10.58,6.14293e-005
10.59,6.58797e-005
10.6,7.07045e-005
10.61,7.59322e-005
10.62,8.1593e-005
10.63,8.77176e-005
10.64,9.43377e-005
10.65,0.000101484
10.66,0.000109189
10.67,0.000117479
10.68,0.00012638
10.69,0.000135914
10.7,0.000146093
10.71,0.000156921
10.72,0.000168387
10.73,0.000180465
10.74,0.000193108
10.75,0.000206239
10.76,0.000219754
10.77,0.00023351
10.78,0.000247324
10.79,0.000260972
10.8,0.000274184
10.81,0.000286656
10.82,0.000298055
10.83,0.000308037
10.84,0.000316275
10.85,0.000322485
10.86,0.000326467
10.87,0.00032813
10.88,0.000327526
10.89,0.000324847
10.9,0.000320414
10.91,0.000314631
10.92,0.000307918
10.93,0.000300644
10.94,0.000293068
10.95,0.000285315
10.96,0.000277385
10.97,0.000269198
10.98,0.000260646
10.99,0.000251643
11,0.000242153
11.01,0.000232207
11.02,0.000221894
11.03,0.000211349
11.04,0.00020073
11.05,0.000190206
11.06,0.000179937
11.07,0.000170069
11.08,0.00016072
11.09,0.000151982
11.1,0.000143919
11.11,0.000136568
11.12,0.000129939
11.13,0.00012402
11.14,0.000118781
11.15,0.000114177
11.16,0.000110155
11.17,0.000106653
11.18,0.00010361
11.19,0.000100963
11.2,9.86565e-005
11.21,9.66366e-005
11.22,9.48571e-005
11.23,9.3278e-005
11.24,9.18655e-005
11.25,9.05916e-005
11.26,8.94339e-005
11.27,8.83743e-005
11.28,8.73984e-005
11.29,8.64953e-005
11.3,8.56563e-005
11.31,8.48748e-005
11.32,8.41456e-005
11.33,8.34643e-005
11.34,8.28275e-005
11.35,8.22319e-005
11.36,8.16742e-005
11.37,8.11511e-005
11.38,8.0659e-005
11.39,8.01936e-005
11.4,7.97502e-005
11.41,7.93229e-005
11.42,7.89055e-005
11.43,7.84902e-005
11.44,7.80686e-005
11.45,7.76312e-005
11.46,7.71673e-005
11.47,7.66655e-005
11.48,7.61136e-005
11.49,7.54992e-005
11.5,7.48101e-005
11.51,7.40349e-005
11.52,7.31645e-005
11.53,7.2193e-005
11.54,7.11197e-005
11.55,6.99512e-005
11.56,6.87036e-005
11.57,6.74055e-005
11.58,6.61e-005
11.59,6.48461e-005
11.6,6.3718e-005
11.61,6.28016e-005
11.62,6.2186e-005
11.63,6.1951e-005
11.64,6.21514e-005
11.65,6.2802e-005
11.66,6.38685e-005
11.67,6.52669e-005
11.68,6.68739e-005
11.69,6.85436e-005
11.7,7.01272e-005
11.71,7.14922e-005
11.72,7.2536e-005
11.73,7.31954e-005
11.74,7.34493e-005
11.75,7.33161e-005
